			LA	 				
Our Lady of Mercy Catholic Church Garden of Peace 	445 Marquette Avenue	Baton Rouge	LA	 70806	225-926-1883			
Our Lady of Mt. Carmel Roman Catholic Cemetery	Mt. Carmel Road	Chataignier	LA	 70524	337-885-3223			
Our Lady of Peace Cemetery	13281 Hwy. 644	Vacherie	LA	 70090	225-265-3953			
Our Lady of Perpetual Help Cemetery	18703 Old Ferry Rd	Head of Isle	LA	 70733	225-698-3110			
Our Lady of Perpetual Help Cemetery	8968 Hwy. 23	Belle Chasse	LA	 70037-2296	504-394-0314			
Our Lady of Perpetual Help Roman Catholic Cemetery	Old Park St.	Jennings	LA	 70546	337-824-3182			
Our Lady of Prompt Succor Cemetery	529  Highway 20	Chackbay	LA	 70301	985-633-2903			
Our Lady of Prompt Succor Cemetery	55345 Moss St	White Castle	LA	 70788	225-744-8701			
Our Lady of Prompt Succor Cemetery	723 N. Bayou Dr.	Golden Meadow	LA	 70357	985-475-5428			
Our Lady of Prompt Succor Church Cemetery	2409 Coteau Road	New Iberia	LA	 70560	337-369-6993			
Our Lady of Prompt Succor Church Cemetery	5th & Laroussini Streets	Westwego	LA	 70094	504-341-9522			
Our Lady of Prompt Succor Mausoleum	Avenue A & 5th Streets	Westwego	LA	 70094	504-393-2026			
Our Lady of Seven Dolors Cemetery	300 N. Adams	Welsh	LA	 70591	337-734-3446			
Our Lady of the Assumption Church Cemetery	410 N. Michaud St.	Carencro	LA	 70520-3307	337-896-8304			
Our Lady of the Isle Cemetery	Bayside St.	Grand Isle	LA	 70358	504-787-2385			
Our Lady of the Lake Cemetery	Par C. Boudreaux Subdivision	Catahoula	LA	 70582	337-394-4679			
Our Lady of the Marshes I & II Cemetery	5250 West Creole Hwy.	Creole	LA	 70632	337-542-4795			
Our Lady of the Most Holy Rosary Cemetery	North Irving Avenue	Kaplan	LA	 70548	337-643-6472			
Our Lady of the Rosary Cemetery	11200 Old Jeanerette Road	Jeanerette	LA	 70544	337-276-6900			
Our Lady of the Rosary Cemetery	12911 E. Main	Larose	LA	 70373	985-693-3433			
Our Lady of the Sacred Heart R C Ch Cemetery(New)	Hwy. 35	Church Point	LA	 70525	337-684-5494			
Our Lady of the Sacred Heart R C Ch Cemetery(Old)	114 North Bienvenu	Church Point	LA	 70525	337-684-5494			
Our Lady Queen Cemetery	50352 Antioch Road	Tickfaw	LA	 70466	504-345-2630			
Our Lady Star of the Sea Cemetery & Mausoleum	135 Our Lady Road	Cameron	LA	 70631	337-542-4795			
Our Mother of Mercy Cemetery	693 N. Main	Church Point	LA	 70525	337-684-2319			
Our Resting Place	18013 Florida Blvd.	Holden	LA	 70744	225-567-5571			
Page Cemetery	Hwy. 153	Castor	LA	 71016	318-544-8869			
Paige Cemetery	Hwy. 436	Bogalusa	LA	 70427	985-732-9959			
Painter Family Cemetery	23578 Cecil Painter Road	Franklinton	LA	 70438	985-839-3394			
Palmer Family Cemetery	102 Dan Road	Enterprise	LA	 71425	318-744-5299			
Palmetto Methodist Cemetery	486 Joseph St.	Palmetto	LA	 71358	337-623-4294			
Palo Alto Cemetery	La. Hwy. 124  South	Mayna	LA	 71352	318-339-8716			
Paradise Baptist Church Cemetery	6751 Hale School Road	Hosston	LA	 71043	318-287-3928			
Pardue Estates Cemetery	31514 Carter Cemetery Road	Springfield	LA	 70462	225-294-5138			
Parklawn Memorial Gardens	41372 Thompson Dr.	Hammond	LA	 70403	985-345-6190			
Parkview Cemetery	Park Street	Jennings	LA	 70546	337-821-5500			
Parnell Cemetery	415 Parnell Lane	Kentwood	LA	 70444	985-878-8004			
Parnell Cemetery	2538 Mt. Hennan Cut Road	Kentwood	LA	 70444	985-229-2387			
Parson Cemetery	100 Millard Smith Road	Deville	LA	 71328	318-466-3144			
Pate Family Cemetery	11552 La Hwy 1	Lettsworth	LA	 70753	386-364-6591			
Paul Joseph Brunett Family Cemetery	55473 Pop's Lane	Loranger	LA	 70446	504-748-4052			
Pea Ridge Cemetery	8189 Solitude Road	St. Francisville	LA	 70775	225-721-1643			
Peaco Family Cemetery	Lake Road	Mansfield	LA	 71052	337-436-0152			
Peacock Cemetery @ Mandalay	1125 Red Cut Loop Road	West Monroe	LA	 71292	318-322-4007			
Pearl Oaks Family Cemetery	Durio Road	Plaisance	LA	 70570	406-799-0501			
Pearly Gate Memorial Park	1321 Cybean Road	Donaldsonville	LA	 70346	225-473-7815			
Pease Cemetery	Highway 124	Jonesville	LA	 71343	318-403-2669			
Pecan Grove Cemetery	Hwy. 822	Dubach	LA	 71235	318-368-2187			
Pentecostal Cemetery	Cypresmort Point Road	Franklin	LA	 70538	318-365-1934			
Perkins Cemetery	141 Legend Lane	DeRidder	LA	 70634	337-515-7064			
Perkins Cemetery	Cemetery Road	DeQuincy	LA	 70633	337-786-8496			
Perkins Cemetery	1100 Saint John Bosco Street	Westlake	LA	 70669	337-842-2555			
Perkins Chapel Cemetery	Dunn's Ferry Road	Moss Bluff	LA	 70601	337-725-3445			
Perkins Memorial Gardens	480 Perkins Lane	Ragley	LA	 70657	un-published			
Perpetual Park Cemetery	1400 Sterling Road	Franklin	LA	 70538	337-828-6310			
Perron Cemetery	Hwy. 104	Mamou	LA	 70554	985-399-2505			
Pete Hedrick Memorial Cemetery	13416 Berry Road	Keithville	LA	 71047	318-773-6018			
Peterson Memorial Cemetery	514 Peters Street	Jennings	LA	 70546	337-821-5515			
Phares Family Cemetery	15880 Hwy. 67	Clinton	LA	 70722-4005	225-683-5272			
Philippian Baptist Church Cemetery	Burnside Street	Union	LA	 70723	225-562-3277			
Phillip Richardson Cemetery	28599 Phillip Richardson Cemetery	Holden	LA	 70744	225-294-5436			
Phillips - Penton Cemetery	Henry Kennedy Road	Angie	LA	 70426	985-986-2602			
Pierce & McNutt Cemetery	Clark Cemetery Road	Plain Dealing	LA	 71064	318-453-3005			
Pierce Family Cemetery	29153  Hwy. 16	Sun	LA	 70463	504-886-3407			
Pilgrim Baptist Church Cemetery	1712 Church Street	East Hodge 	LA	 71247	318-259-4752			
Pilgrim Hill Cemetery	3413 Hwy. 15	Sicily Island	LA	 71368	318-389-5378			
Pilgrim Home Cemetery	16258 Highway 157	Benton	LA	 71006-4709	318-326-5088			
Pilgrim Rest Cemetery	Naff Street	Bastrop	LA	 71220	318-244-5001			
Pilgrim Rest Cemetery	Craighton Road	Sibley	LA	 71073	318-371-0828			
Pilgrims Rest Cemetery	North Commerce	St. Francisville	LA	 70775	225-775-1884			
Pine Grove	24416 Hwy. 16	Denham Springs	LA	 70726	225-955-2060			
Pine Grove Baptist Church Cemetery	1887 Pine Grove Church Road	Bernice	LA	 71222	318-285-9658			
Pine Grove Cemetery	979 Blade Loop Road	Jena	LA	 71342	318-992-6586			
Pine Park Cemetery	Tennessee Avenue	Vivian	LA	 71082	318-375-3856			
Pinecrest Cemetery	100 Pinecrest Dr.	Pineville	LA	 71360	318-641-2003			
Pinecrest Memorial Gardens	2280 West 21st Avenue	Covington	LA	 70433	985-892-5007			
Pirie Cemetery	25543 La. Hwy. 1032	Denham Springs	LA	 70726	225-921-2858			
Pisgah Clifton Community Cemetery	Clifton Road & Highway 28  West	Clifton	LA	 71447-4026	318-793-5651			
Pittman Cemetery	52552 Hwy. 60	Bogalusa	LA	 70427	985-732-7912			
Plain Dealing Cemetery	Highway 157	Plain Dealing	LA	 71064	318-326-4234			
Plains Presbyterian Memorial Gardens	1612 T Plains-Port Hudson Road	Zachary	LA	 70791	225-654-2960			
Plainview Cemetery	7846 Plainview Road	Hornbeck	LA	 71439	318-652-0058			
Platain Cemetery	3105 Millers Lake Road	Ville Platte	LA	 70586	337-363-5651			
Plauche' Family Cemetery	7635 Lane Road	Ethel	LA	 70730	504-899-5853			
Pleasant Grove Cemetery	1381 Pleasant Grove Road	Choudrant 	LA	 71227	318-614-3052			
Pleasant Hill Baptist Church Cemetery	Linton/Ford Road	Benton	LA	 71006	318-572-5767			
Pleasant Hill Baptist Church Cemetery (Old)	Linton Road	Benton	LA	 71006	318-965-0500			
Pleasant Hill Church Cemetery	3261 Hwy. 171  South	DeRidder	LA	 70634	337-396-6586			
Pleasant Hill Gardens	425 Iberia Street	Youngsville	LA	 70592	337-739-5023			
Pleasant Summit Cemetery	6205 China Cemetery Rd.	Elton	LA	 70532	337-526-8809			
Pleasant Valley Cemetery	Hwy. 371	Minden	LA	 71055	318-371-0612			
Pleasant Valley Missionary Baptist Church Cemetery	55146 Old Uneedus Road	Loranger	LA	 70446	985-796-3092			
Pollock Cemetery	Corner Cemetery Road & Hwy 8 West	Pollock	LA	 71467	318-765-8786			
Pondarosa Cemetery	387 Larry Bryant Road	Atlanta	LA	 71404	318-627-5395			
Ponderosa Cemetery	3069 Hwy 1226	Natchitoches	LA	 71457	318-958-8801			
Ponemah Cemetery	1201 Louisiana Avenue	Bogalusa	LA	 70429	985-732-6213			
Poston Cemetery	413 Shorty Poston Road	Hornbeck	LA	 71439	337-392-2372			
Powell Cemetery	17369 Alley Lane	Natalbany	LA	 70451	985-902-8860			
Prairieville Cemetery	37473 Duplessis Rd.	Prairieville	LA	 70769	225-673-6460			
Precious Memories Cemetery	Horseshoe Lake Road	Mer Rouge	LA	 71261	318-647-5592			
Preuett Family Cemetery	6783 Hwy. 8	Bentley	LA	 71407	318-201-2332			
Prevost Cemetery	47197 Prevost Lane	Hammond	LA	 70401	985-542-9613			
Price Hill Cemetery	Price Road	Coushatta	LA	 71019	318-932-5541			
Pridgett Cemetery	81 Butch Butter Road	Rayville	LA	 71269	318-325-9215			
Prien Memorial Park	6325 Gulf Hwy.	Lake Charles	LA	 70605	337-477-4078			
Progressive Baptist Church Cem4etery	336 Raine Drive	Lafayette	LA	 70501	337-234-3924			
Promise Land Cemetery	Highway 39	Promise Land	LA	 70740	504-392-2263			
Promised Land Cemetery	230 Wilkes Drive	Farmerville	LA	 71241	318-368-9220			
Providence Cemetery	4665 Hwy. 154	Ringgold	LA	 71068	318-422-2568			
Providence Memorial Cemetery	La. Highway 4	Winnsboro	LA	 71295	318-435-4087			
Providence Memorial Park	8200 Airline Hwy.	Metairie	LA	 70003	504-464-0541			
Providence Resthaven Cemetery	170 West 2nd Street	LaPlace	LA	 70068	985-652-9693			
Pu'nake Cemetery	Hwy. 175	Pleasant Hill	LA	 71065	281-744-3808			
Pujol Cemetery	Big Lake Hwy.	Big Lake	LA	 70607	337-477-1491			
Purlight Baptist Church Cemetery	380 Hwy. 3264	Jonesville	LA	 71343	318-339-4536			
Pythian Cemetery	Judge Lee Oaks Drive	Bunkie	LA	 71322	318-346-7663			
Quave Family Cemetery	489 Bruce Quave Road	Merryville	LA	 70653	337-825-6312			
Queen of Peace Cemetery	240 Gary St.	St. Martinville	LA	 70582	337-394-3084			
Quitman Cemetery	Church Road	Quitman	LA	 71268	318-259-7233			
R & E Cemetery	685 Ward Line Road	DeRidder	LA	 70634	337-463-2833			
R L Stevenson	4475 Stevenson Road	Bastrop	LA	 71220	318-281-6283			
R.J. Adams Memorial Cemetery	27189 Hwy 62	Franklinton	LA	 70438	228-233-8845			
Rabalais Family Cemetery	342 Juneau Road	Simmesport	LA	 71369				
Ralph O'Neil Reeves Cemetery	Ralph O'Neil Reeves Road	Gilbert	LA	 71336	318-757-9350			
Ramah Cemetery	Hwy. 153	Ashland	LA	 71002	318-544-8506			
Rapides Parish Pauper Cemetery	200 Lake Buhlow Road	Pineville	LA	 71309	318-473-6660			
Raven Camp Cemetery	13187 Hwy 8	Colfax	LA	 71417	318-627-5419			
Ravey-Parsley Cemetery	Darla Lane	Jennings	LA	 70546	337-824-6155			
Rawls Cemetery	555 Brown Road	Oak Grove	LA	 71263-9193	318-428-2491			
Rawls Family Cemetery	nw 14 of SE 1/4 of Section 20,T19N, R9E	Epps	LA	 71237	620-288-0432			
Raybon Hill Baptist Church Cemetery	378 Raybon Loop	Dodson	LA	 71422	318-648-2507			
Rayborn Family Cemetery	28475 Red Oak Road	Livingston	LA	 70754	225-686-2578			
Raymond J. Rodrigue Family Memorial Cemetery	121 La Rue Jardin	Lockport	LA	 70374	504-532-2720			
Raymond United Methodist Cemetery	Ardoin Road	Jennings	LA	 70546	337-584-2117			
Raymond-Hathaway Community Cemetery	5505 Pine Island Hwy	Jennings	LA	 70546	337-824-4712			
Rayville Masonic Cemetery	Stone Avenue	Rayville	LA	 71269	318-728-2627			
Red Bluff Memory Garden	1532 Red Bluff Baptist Church Road	Greensburg	LA	 70441	985-517-1640			
Red Oak Baptist Church Memorial Cemetery	Red Oak Road	Livingston	LA	 70754	225-686-2588			
Redwood Cemetery	5182 Hwy. 412  East	Slaughter	LA	 70777	225-654-5757			
Reed Cemetery	L'Anse Maigre Road	Mamou	LA	 70554	337-546-0457			
Reed Raines Memorial Garden	Hwy 40  West	Folsom	LA	 70437	985-502-5050			
Reflection Point	90 White Island Drive	Rayville	LA	 71269	318-334-3372			
Regina Coeli Cemetery	Highway 74	St. Gabriel	LA	 70776	Private			
Reno Family Cemetery	9501 Hwy. 955  East	Ethel	LA	 70730	225-683-9645			
Republican Baptist Church Cemetery	1240 Republican 	Mooringsport	LA	 71060	318-929-2268			
Residence Baptist Church of Houma, LA Inc Cemetery	3842 Hwy 56	Houma	LA	 70361	985-879-3143			
Rest Haven Cemetery	Gwin Road	Winnsboro	LA	 71295	318-235-1504			
Rest Haven Memorial Park	10400 Old Gentilly Rd.	New Orleans	LA	 70127	504-242-1367			
Resthaven Cemetery	Hwy. 165	Oakdale	LA	 71463	318-335-0500			
Resthaven Gardens of Memory	11817 Jefferson Hwy.	Baton Rouge	LA	 70816	225-753-1440			
Restland Memorial Gardens	Hwy. 165	Pollock	LA	 71467	318-335-0500			
Restlawn Park Cemetery	4004 W. Hwy. 90	Avondale	LA	 70094	504-368-6722			
Resurrection Mission Chapel Cemetery	Sonnier Road	Whiteville	LA	 71376	318-346-7010			
Rev. Joseph White Family Cemetery	Rev. Joseph White Lane	Independence	LA	 70443	985-878-2470			
Revival Temple	28521 Walker South Road	Walker	LA	 70785	225-664-4027			
Reynolds Cemetery	380 aunt Margies Road	Greensburg	LA	 70441	985-474-1720			
Richardson Baptist Church Cemetery	Hwy 440	Franklinton	LA	 70438	985-795-9654			
Richey Cemetery	999 Effie Hwy	Deville	LA	 71328	318-641-1791			
Richoux Family Cemetery	28421 Pea Gravel Road	Franklinton	LA	 70438	985-335-7476			
Richwood Gardens	2705 Richwood Rd. #2	Monroe	LA	 71202	318-325-7303			
Ricks Family Burial Ground	69659 Hwy. 1061	Kentwood	LA	 70444	985-229-2809			
Rico Cemetery	149-B Rico Road	Moreauville	LA	 71355	318-359-6221			
Rigmaiden & Perkins Cemetery	953 Willow Springs	Sulphur	LA	 70663	337-527-0918			
Rising Sons of Liberty Cemetery	Baker Street	Jeanerette	LA	 70544	504-394-3900			
Rising Star Baptist Church Cemetery	Hwy. 76	Ramah	LA	 70737	504-861-2630			
Ritchie Community Graveyard	South Perkins Ferry Road	Moss Bluff	LA	 70611	337-855-3447			
Riverview Cemetery	South Grand @ Standifer	Monroe	LA	 71202	318-329-3296			
Robbins Family Cemetery	13 Luther Lane	Kentwood	LA	 70444	225-667-1956			
Robert R. Stafford Cemetery	30547 North Corbin Road	Walker	LA	 70785	225-665-3270			
Roberts Cemetery	La. Hwy. 506  West	Grayson	LA	 71435	318-495-5468			
Roberts Family Cemetery	146 Roberts Lane	Opelousas	LA	 70570	337-948-4607			
Robertson Cemetery	Hwy. 1062	Loranger	LA	 70446	504-878-9714			
Robertson Family Cemetery	Hwy. 1041	Pine Grove	LA	 70453	225-777-4583			
Robertson Memorial Cemetery	14065 Robertson Lane	Clinton	LA	 70722	225-683-9863			
Robinson Cemetery	Old Columbia Road	Varnado	LA	 70467	504-732-3079			
Rock Zion Church Cemetery	Highway 1064	Natalbany	LA	 70451	504-543-0286			
Rockenschuh Family Burial Ground	44601 S. Coburn Road	Hammond	LA	 70403	409-721-6681			
Rocky Branch Cemetery	105 Mattie Roan Road	Union	LA	 71241	318-726-5363			
Rocky Hill Afrian Methodist Episcopal ChurchCemete	151 Rocky Hill Road	Amite	LA	 70442	225-222-3930			
Rocky Mount Cemetery	132 Rocky Mount Cemetery Road	Plain Dealing	LA	 71064	318-560-4889			
Rocky Mt. Cemetery	1309 Hwy. 154	Ringgold	LA	 71068	318-746-6728			
Rodden Family Cemetery	Hwy 577	Delhi	LA	 70232	318-557-6741			
Roe Cemetery	Carrier Road	Pine Grove	LA	 70453	225-245-1061			
Rogers Cemetery	11405 Rouchon Lane	Clinton	LA	 70722	313-865-3929			
Rogers Cemetery	635 Bayou Blue Road	Houma	LA	 70364	985-851-6540			
Rogers Cemetery	5967 Dunbarton Road	Ferriday	LA	 71334	318-757-6127			
Roman Klumpp Family Cemetery	JIntersection Jolene Rd & Reed Rd	Basile	LA	 70515	337-432-5250			
Rosaryville Cemetery	39003 Rosaryville Rd.	Ponchatoula	LA	 70454	225-294-5039			
Rose Garden Memorial Cemetery	Corso Street	Washington	LA	 70589	337-942-6788			
Rose Haven Cemetery	184 Aplhone Venable Road	Sunset	LA	 70584				
Rose Hill Baptist Church Cemetery	Deadwood Road	Gibson	LA	 70356	985-575-2112			
Rose Hill Baptist Church Cemetery	Greenwell Springs Rd & N Sherwood Forest	Baton Rouge	LA	 70814	225-356-5814			
Rose Hill Cemetery	14470 Hwy. 77	Rosedale	LA	 70772	225-766-7862			
Rose Memorial Park Cemetery	908 Western Avenue	Hammond	LA	 70401	985-345-5576			
Rose Neath Cemetery	5185 W. Swan Lake Road	Bossier City	LA	 71111	318-746-9344			
Rosefield Cemetery	Highway 124 & Highway 126	Grayson	LA	 71435	318-992-6407			
Rosehill Cemetery	West Main St.	New Iberia	LA	 70560	337-364-5185			
Roselawn Memorial Gardens	451 Hwy. 151	Calhoun	LA	 71225	318-644-5212			
Roselawn Memorial Park	4045 North St	Baton Rouge	LA	 70806	225-344-0186			
Ross Family Burial Ground	Rt. 2 Box 271	Coushatta	LA	 71019	318-932-8791			
Rougeou Cemetery	266 Rougeou Road	Longville	LA	 70652	337-725-3224			
Round Grove Memorial Garden	2869 Round Grove Lane	Shreveport	LA	 71161	318-746-9344			
Rowe Family Cemetery	2362 Wyatt Road	Belmont	LA	 71406	318-590-2361			
Roy & Dorothy Oalman Family Cemetery	18425 Oak Hill Drive	Covington	LA	 70435	985-892-3523			
Rush Family Cemetery	136 Billy Rush Road	Deville	LA	 71328	318-466-3839			
Rushing Family Cemetery	86 Rushing Lane	Many	LA	 71449	318-256-9396			
Russell Cemetery	Frank Kennedy Road	Angie	LA	 70427	985-516-3196			
Russell Cemetery	324 Pulltight Road	Oak Grove	LA	 71263	318-282-8615			
Ruttley Cemetery	Barataria Road	Barataria	LA	 70036	504-348-0312			
Sacred Heart Catholic Cemetery	5250 West Creole Hwy.	Creole	LA	 70632	337-542-4795			
Sacred Heart Cemetery	9986 Bayou Des Glaises Rd	Moreauville	LA	 71355-9702	318-985-2774			
Sacred Heart Cemetery	417 Saizan Ave	Port Barre	LA	 70577	337-585-2279			
Sacred Heart Cemetery	Hwy. 55	Montegut	LA	 70377	504-594-5856			
Sacred Heart Cemetery	15300 W. Main St.	Cut Off	LA	 70345	985-632-3858			
Sacred Heart Cemetery	28220 W LA Hwy. 82	Kaplan	LA	 70548	337-643-7714			
Sacred Heart Cemetery	342 Belle River Road	Pierre Part	LA	 70339	985-252-6008			
Sacred Heart Cemetery #2	Lemoine Street	Moreauville	LA	 71355	318-985-2774			
Sacred Heart Cemetery & Mausoleum	Opelousas St.	Lake Charles	LA	 70601	337-439-2646			
Sacred Heart Cemetery at Cornerview	38161 Cornerview Road	Gonzales	LA	 70737	225-647-6588			
Sacred Heart Cemetery No. 2	200 Grace Street	Lake Charles	LA	 70601	337-439-2624			
Sacred Heart of Jesus Roman Catholic Ch. Cemetery	708 East Main St.	Ville Platte	LA	 70586	337-363-2989			
Sacred Heart Prairie Ronde Cemetery	3681 Hwy. 104	Opelousas	LA	 70570	337-543-7591			
Saint Jude on the Bayou	3260 Hwy. 1  South	Donaldsonville	LA	 70346-9182	816-753-0073			
Sakelo Memorial Family Cemetery	10542 Hwy. 961	Clinton	LA	 70822	225-573-1238			
Salem Baptist Church Cemetery	Evergreen Highway	Bunkie	LA	 71322	318-346-2490			
Salem Cemetery	Highway 9	Athens	LA	 71003	318-258-3133			
Sallier Cemetery	Michael DeBakey Drive	Lake Charles	LA	 70601	337-474-4444			
Sanctuary of Peace Mausoleum	1201 Louisiana Avenue	Bogalusa	LA	 70427	985-732-4721			
Sand Hill Cemetery	La. Hwy. 22	Ponchatoula	LA	 70454	504-542-0059			
Sanders Family Cemetery	4670 Dowd Road	Collinston	LA	 71229	318-283-1460			
Sanderson Cemetery	785 Tank Road	Lake Providence	LA	 71254	318-418-0752			
Sandy Bayou Cemetery	Hwy 559 	Columbia	LA	 71418	318-649-63			
Sandy Creek Baptist Cemetery	22834 Liberty Road	Zachary	LA	 70791	225-654-9158			
Satterley Family Cemetery	9273 Hwy 105	Melville	LA	 71353	337-592-3234			
Says Cemetery	1060 Old River Road	Starks	LA	 70661	337-743-5153			
Schaeffer Family Cemetery	Schaeffer Loop	Florien	LA	 71429	318-565-0061			
Second Edgefield Cemetery	Blacktop Road	Cheneyville	LA	 71325	318-279-2339			
Second Mt. Olive Baptist Cemetery	Mt. Olive Church Road	Smoke Bend	LA	 70346	225-473-9223			
Second St. Paul Baptist Church Cemetery	Marksville Hwy.	Bayhills	LA	 71322	318-346-4306			
Self Cemetery	Self Cemetery Road	Florien	LA	 71429	225-346-6702			
Semenuk Family Cedmetery	Rt. 1  Box 97AB	Crowley	LA	 70526	337-783-5421			
Sensat Cemetery	2106 Egan Hwy.	Egan	LA	 70531	337-783-2192			
Serenity Memorial Park	7352 Hwy 31	Opelousas	LA	 70570	337-942-2037			
Serenity Oaks Memorial Park	15304 Hwy 73	Prairieville	LA	 70769	225-673-8080			
Shackleford Baptist Church Cemetery	La. Highway 888	Newellton	LA	 71357	318-467-5607			
Shady Acres Cemetery	Shady Acres Road	Ferriday	LA	 71334	318-757-2917			
Shady Grove CME Church Cemetery	775 Shady Grove Road	Simsboro	LA	 71275	318-263-8012			
Shady Oak Cemetery	19111 Bebee Road	Iowa	LA	 70647	337-582-3627			
Shady Oaks Cemetery	3116 Hwy. 93	Sunset	LA	 70584	985-693-3366			
Shaffer-Lilly Family Burial Grounds	Highway 794	Gibsland	LA	 71028	318-843-6650			
Shaffett/Glasscock Cemetery	20371 Perrilloux Road	Livingston	LA	 70754	225-686-1036			
Shannon Family Cemetery	31052 Pace Lane	Walker	LA	 70785	225-686-0157			
Shaw Family Cemetery	1591 Sloan Road	Mansfield	LA	 71052	318-686-5285			
Shaw's Rocking S Cemetery	445 Gimnick Road	Ragley	LA	 70657-4048	337-725/3780			
Shekinah Gardens	3300 Hwy. 18 W	Donaldsonville	LA	 70346	225-473-1042			
Shelby Jenkins Family Cemetery	18176 Shelby Road	Covington	LA	 70435-8448	985-273-8850			
Shell Beach Cemetery	Shell Beach Road	Gueydan	LA	 70452	337-774-2614			
Shell Mound Cemetery	16054 Old Spanish Trail	Des Allemands	LA	 70030	504-210-9675			
Sheppard Street Cemetery	Shepperd Street	Minden	LA	 71055	318-377-5402			
Shiloh Methodist Cemetery	Hwy. 172	Keatchie	LA	 71046	903-622-4531			
Shiloh United Methodist Church Cemetery	15045 Hwy. 76	Maringouin	LA	 70757	225-776-0614			
Shropshire Family Cemetery	16826 Shropshire Road	Clinton	LA	 70722	225-683-5037			
Sikes Cemetery	3317 Evergreen Road	Minden	LA	 71055	318-422-4229			
Silver Cross Cemetery	U. S. Hwy. 80  East	Tallulah	LA	 71282	318-574-3138			
Silverado Cemetery	207 Smith-Reed Road	Lafayette	LA	 70507	337-896-3338			
Sims Gethsemane Memorial Gardens	Merrill Street	Winnsboro	LA	 71295	318-435-3584			
Sixth Ward Baptist Church Cemetery	9106 Pointe Coupee Road	New Roads	LA	 70760	225-638-7819			
Slaughter Cemetery	Cemetery Road	Rodessa	LA	 71069	281-251-0400			
Slaven-Rohner Family Burial Ground	20241 Hickory Lane	Amite	LA	 70422	985-748-4994			
Slocum Cemetery	611 Tyler Cemetery Road	Centerpoint	LA	 71323	318-253-4427			
Smith & Gilmer Cemetery	Fire Tower Road	Plain Dealing	LA	 71064	318-326-4428			
Smith & Johnson High Ridge Cemetery	233 Big Island Loop	Deville	LA	 71328	318-316-0644			
Smith Angels Cemetery	3026 Hwy 107	Effie	LA	 71331	318-500-2185			
Smith Cemetery	264F Smith Road	Haynesville	LA	 71038	318-624-2927			
Smith Cemetery	31235 Hwy. 438	Franklinton	LA	 70438	985-839-2313			
Smith Cemetery	251 Museum Road	Greensburg	LA	 70441	225-222-4812			
Smith Family Cemetery	696 Bonner Road	Evans	LA	 70639	337-286-9280			
Smith Family Cemetery	8513 Swan Lake Road  South	Elm Grove	LA	 71051	318-868-3147			
Smith Family Cemetery	Cowart Street	Jena	LA	 71342				
Smith Hill Cemetery	665 Jeff Alexander Road	Logansport	LA	 71049	318-697-5048			
Smithland Cemetery	12163 Cap Eddies Road	Weyanoke	LA	 70787	225-655-4103			
Social Springs Cemetery	184 Social Springs Road	Ringgold	LA	 71068	318-932-3213			
Somerset Cemetery	Hwy. 65	Newellton	LA	 71357	318-282-3180			
South Central Cemetery	Hwy. 875	Wisner	LA	 71378	318-435-6025			
Southdown Cemetery	125 Civic Center Blvd.	Houma	LA	 70360	985-873-6567			
Southern Magnolia Cemetery	2800 Hwy 26	DeRidder	LA	 70634-7049	337-463-7004			
Southern Memorial Gardens	3012 Blount Road	Baton Rouge	LA	 70807	225-775-0727			
Spears Cemetery	Burns Road	Ethel	LA	 70730	225-683-5208			
Special Providence Baptist Church Cemetery	814 Martin Luther King Street	Baldwin	LA	 70514	318-828-4070			
Speight Cemetery	4075 Lakeside Loop	Many	LA	 71449	318-586-7544			
Spence Cemetery	9546 Hwy 127 S.	Jena	LA	 71342	318-992-8612			
Spencer Cemetery	Spencer Cemetery Road	Franklinton	LA	 70438	985-839-9672			
Spring Creek Cemetery	487 Hwy. 1147	DeRidder	LA	 70634	318-328-7370			
Spring Hill Cemetery	Highway 147	Jonesboro	LA	 71251	318-259-4944			
Springhill Baptist Church Cemetery	15311 Highway 1	Cloutierville	LA	 71456	318-379-0616			
Springhill Cemetery	275 Springhill Church Road	Ringgold	LA	 71068	318-894-6182			
Springhill Memorial Cemetery	506 12th Street N.W.	Springhill	LA	 71075	318-539-5681			
Springville Cemetery Association	118 Caliope Street	Coushatta	LA	 71019	318-491-8672			
Squyres Church Risinger Memorial Park	13936 Hwy 171	Ragley	LA	 70657	337-725-3766			
SRJ Cemetery	28962 Hwy. 40	Independence	LA	 70443	985-345-5258			
St Jas. United Meth Ch/Rosehill Bapt Ch Cemeteries	114 Hwy. 998	Belle Rose	LA	 70341	225-473-1574			
St Joseph Boudreaux/Broussard Family Cemetery	109 Daigre Street	Loreauville	LA	 70563	337-229-8100			
St Jules Cemetery	5487 Riverside Road	Petit Mamou (Jennings)	LA	 70543	337-824-4995			
St. Alban's Columbarium	2816 Deborah Drive	Monroe	LA	 71201	318-322-3139			
St. Alphonsus Cemetery	3645 Main	Hessmer	LA	 71341	318-563-4550			
St. Alphonsus Ligouri Cemetery	14040 Greenwell Springs Road	Greenwell Springs	LA	 70739	225-261-4650			
St. Andrew Cemetery	Lake Palourde Rd.	Amelia	LA	 70340	985-631-2333			
St. Andrews Chapel Cemetery	4755 Prairie Ronde Hwy.	Plaisance	LA	 70570	337-826-3870			
St. Ann Cemetery	2264 Hwy. 171	Stonewall	LA	 71078	318-872-1158			
St. Ann Cemetery	4353 Hwy. 24	Bourg	LA	 70343	504-594-3548			
